id,text,symbol,filing_time,topic_ids,label,Comments
222,"Any series of preferred stock could contain dividend rights, conversion rights, voting rights, terms of redemption, redemption prices, liquidation preferences or other rights superior to the rights of holders of its common stock.",cde,2017-02,"[3, 6]",1,
223,"Any potential acquisition involves risk, including the ability to effectively integrate the acquired technologies, operations and personnel into the business, the diversion of capital and managements attention from other areas of the business, and the impact of debt obligations resulting from the acquisition.",cmp,2015-02,[8],0,
224,"We have not posted a bond in Mexico, as none is required.",mux,2010-03,[0],0,
225,"World gold prices are affected by numerous factors beyond our control, including: Molybdenum prices also fluctuate widely.",fcx,2009-02,[10],0,
226,"These liabilities, and other liabilities related to ECUs business not currently known to us or that prove to be more significant than we currently anticipate, could negatively impact our business, financial condition and results of operations.",aumn,2014-02,[9],0,
227,"Apart from governmental regulation, there are also increasing financial risks for fossil-fuel producers as stakeholders of fossil-fuel energy companies may elect in the future to shift some or all of their support into non-energy related sectors.",hnrg,2022-03,[12],1,
228,The 382 Transfer Restrictions are intended to prevent the likelihood that we will be deemed to have an ownership change within the meaning of Section 382 of the Code that could limit or eliminate our ability to utilize significant NOLs and other federal income tax attributes under and in accordance with the Code and regulations promulgated by the IRS.,hcc,2021-02,[15],1,
229,KC's success depends in part on its ability to anticipate the tastes of its customers and to provide merchandise that appeals to their preferences.,nc,2015-03,[7],1,
230,"We can provide no assurance that we have been, or will at all times be, in full compliance with all of the terms of our permits or that we have all required permits.",hymc,2021-03,[2],0,
231,There can be no assurance that one or more of these customers will not cease or materially decrease their business with the Company in the future and that our financial performance will not be adversely affected thereby.,usau,2008-07,[4],0,
232,Reserve estimation is an interpretive process based upon available data and various assumptions.,hl,2010-02,[7],0,
233,"We might not have, or be able to obtain, sufficient funds to make these accelerated payments.",slca,2020-02,"[0, 1]",0,
234,"With respect to our El Gallo 1 mine in Mexico, in recent years, there has been a marked increase in the level of violence and crime relating to drug cartels in Sinaloa state, where we operate, and in other regions of Mexico.",mux,2015-03,[5],0,
235,"The loss of, or significant reduction in, purchases by our largest customers could adversely affect our revenues and profitability.",amr,2019-04,"[4, 12]",0,
236,"On the basis of this common stock ownership, certain members of the Company's extended founding family could have exercised approximately 81 percent of the Company's total voting power.",nc,2022-03,"[3, 6]",1,
237,"Before making any distributions to our unitholders, we will reimburse our general partner and its affiliates for all expenses they have incurred on our behalf.",arlp,2021-02,"[6, 15]",1,
238,"Accordingly, long-term contracts may provide only limited protection during adverse market conditions.",arlp,2015-02,[10],0,
239,See Note 4 of Notes to Consolidated Financial Statements for more information on the distribution of our sales and our significant customers.,hl,2022-02,[0],0,
240,Our business inherently involves certain risks and uncertainties.,arch,2006-03,"[8, 15]",0,
241,"In addition to the Grand Canyon withdrawal and the Bears Ears National Monument, there are currently other designated or proposed withdrawals of federal lands for the purposes of mineral location and development and proposed designations of national monuments.",uuuu,2022-03,[2],0,
242,"In recent years, the United States Congress has considered a number of proposed major revisions to the General Mining Law of 1872 (the ""General Mining Law""), which governs the creation, maintenance and possession of mining claims and related activities on federal public lands in the United States.",rgld,2011-08,[2],0,
243,"We have adopted certain valuation methodologies that may result in a shift of income, gain, loss and deduction between the general partner and the unitholders.",arlp,2013-03,"[6, 15]",1,
244,"At the same time, the peso has been subject in the past to significant volatility, which may not have been proportionate to the inflation rate and may not be proportionate to the inflation rate in the future.",scco,2020-02,"[5, 10]",0,
245,"As a result, the Common Stock may trade at a discount to what would be its value if the stock enjoyed greater liquidity.",usau,2006-07,"[3, 6]",0,
246,"Based on this review, we adjust our estimation procedures when appropriate.",cde,2010-02,[7],1,
247,"While we believe we have satisfactory title to our properties, some risk exists that some titles may be defective or subject to challenge.",lode,2011-04,[11],0,
248,"If impairment testing indicates that the carrying value exceeds its fair value, the intangible assets or goodwill is deemed impaired.",usau,2011-07,[10],1,
249,"Mr. Jensen's extensive commercial experience, mine operations background and industry contacts give us an important competitive advantage.",rgld,2010-08,[4],0,
250,"NMHG cannot be sure that it will succeed in defending these claims, that judgments will not be rendered against NMHG with respect to any or all of these proceedings or that reserves set aside or insurance policies will be adequate to cover any such judgments.",nc,2009-03,[9],0,
251,We may be adversely impacted on the basis of price or other factors with companies that in the future may benefit from favorable foreign trade policies or other arrangements.,ceix,2019-02,[5],0,
252,"Presidential, congressional and regional elections took place in Peru in 2006, with the new national government taking office in July 2006.",nem,2007-02,"[5, 13]",0,
253,"The Company is currently a smaller reporting company as defined in the Securities Exchange Act of 1934, and thus allowed to provide simplified executive compensation disclosures and other decreased disclosure in SEC filings.",nc,2021-03,[4],0,
254,This is known as being permit-blocked.,amr,2019-04,"[2, 15]",0,
255,"The amount of cash ultimately required to fund these obligations will vary based on a number of factors including future return on assets, mortality rates and other such actuarial assumptions.",slca,2012-03,"[0, 7]",1,
256,"Our compliance costs including the posting of surety bonds associated with environmental protection laws and regulations and health and safety standards have been significant to date, and are expected to increase in scale and scope as we expand our operations in the future.",uec,2018-10,"[0, 2, 12]",1,
257,"Any of these events could materially and adversely impact us in a number of ways, including through decreased production, increased costs, decreased demand for our products due to reduced economic activity or other factors, or the failure by counterparties to perform under contracts or similar arrangements.",hl,2021-02,"[4, 12, 14]",0,
258,International demand for U.S. coal exports also affects coal demand in the U.S.,amr,2019-04,[14],0,
259,"If the negotiators for Hecla, the Plaintiffs, and the State of Idaho do reach a final settlement in the form of a proposed Consent Decree that they are prepared to recommend to their respective managements and clients, that Consent Decree will be subject to (i) approval by the parties management and clients, (ii) a 30-day public comment period and a period for responses to those public comments and (iii) approval by the United States District Court in Idaho.",hl,2011-02,[2],1,
260,President Biden also agreed that same month to cooperate with Chinese leader Xi Jinping on accelerating progress toward the adoption of clean energy.,arch,2022-02,[8],0,
261,"Furthermore, operating expenses at our mining locations are sensitive to changes in certain variable costs, including diesel fuel prices, which is one of our largest variable costs.",amr,2020-03,"[12, 14]",0,
262,Investors seeking cash dividends in the foreseeable future should not purchase our common stock.,lode,2022-03,[3],0,
263,"For example, in early 2019, the extractive industry experienced a large scale tailings dam failure at an unaffiliated mine, which resulted in numerous fatalities and caused extensive property, environmental and reputational damage.",nem,2020-02,"[4, 7]",0,
264,"Accordingly, if we acquire a target business that is not a post-restructured entity, it is possible that these specific risks would not affect us in the same manner, but we would be subject to other risks attendant with the specific industry in which we operate or target business which we acquire, none of which can be presently ascertained.",hymc,2020-03,[8],0,
265,"Social, economic and political instability in Papua could materially and adversely affect us if it results in damage to our property or interruption of our activities.",fcx,2013-02,"[5, 9]",0,
266,A portion of our operating expenses are incurred in local currencies.,nem,2022-02,[5],0,
267,"We will need substantial additional capital to maintain, develop and increase our asset base, and the inability to obtain needed capital or financing, on satisfactory terms, or at all, whether due to restrictions in our Credit Agreement or otherwise, could have an adverse effect on our growth and profitability.",slca,2022-02,[1],0,
268,"We cannot assure you that the agreements governing our current and future indebtedness, including our senior secured credit facilities, will permit us to pay dividends on our common stock.",cmp,2009-02,"[0, 3]",0,
269,"Federal and state laws require us to place and maintain bonds to secure our obligations to repair and return property to its approximate original state after it has been mined (often referred to as reclaim or reclamation), to pay federal and state workers compensation and pneumoconiosis, or black lung, benefits and to satisfy other miscellaneous obligations.",arlp,2008-02,"[0, 2]",1,
270,We may be adversely affected by labor disputes.,scco,2011-03,[13],0,
271,We may experience increased costs or losses resulting from the hazards and uncertainties associated with mining.,nem,2015-02,[12],0,
272,"The profitability of MLMC is subject to the risk of loss of investment in this operation, increases in the cost of mining, changes in customer demand, growing competition from alternative power generation that competes with coal-fired generation and the emergence of adverse mining conditions.",nc,2021-03,"[4, 12, 14]",0,
273,"In the event of insolvency, liquidation, reorganization, dissolution or other winding up of the Company, the Companys creditors and preferred stockholders would be entitled to payment in full out of the Companys assets before holders of common stock would be entitled to any payment and the claims on such assets may exceed the value of such assets.",lode,2012-03,"[3, 10]",0,
274,"Further, policies limiting available financing for the development of new coal-fueled power plants could adversely impact the global demand for coal in the future.",arch,2022-02,"[5, 12, 14]",0,
275,This lease covers a portion of the claims in the mine corridor where most of our mineralized material relating to the Tonkin project has been identified.,mux,2009-03,"[1, 7]",0,
276,"As a result, our ability to detect payment errors through our stream and royalty monitoring program and its associated internal controls and procedures is limited, and the possibility exists that we will need to make retroactive revenue adjustments.",rgld,2016-08,[7],0,
277,"There can be no assurance that we will be able to acquire necessary permits or authorizations on a timely basis, if at all.",aumn,2007-04,"[1, 2, 8]",0,
278,"In the context of environmental permits, including the approval of reclamation plans, Coeur must comply with standards and regulations which entail significant costs and can entail significant delays.",cde,2009-03,[2],1,
279,Our mines are subject to stringent federal and state safety regulations that increase our cost of doing business at active operations and may place restrictions on our methods of operation.,hcc,2019-02,"[2, 12]",1,
280,"There are numerous uncertainties inherent in estimating quantities and qualities of minerals and costs to mine recoverable reserves and resources, including many factors beyond the Company's control.",nc,2022-03,"[1, 7]",0,
281,"Growers decisions regarding the application rate for potash, including whether to forgo application altogether, may vary based on many factors, including crop and potash prices and nutrient levels in the soil.",cmp,2013-02,[7],0,
282,We hold an 80% interest in the Mt. Hamilton project through our membership interest in MH-LLC.,xpl,2015-03,[6],0,
283,"Subsequent overcapacity in the industry contributed, and may in the future contribute, to lower coal prices.",amr,2019-04,[4],0,
284,The mine site is also in an active seismic area and has experienced earth tremors from time to time.,fcx,2009-02,[9],0,
285,"We may be forced to expend significant resources in the defense of these suits, and we may not prevail.",uec,2018-10,[13],0,
286,"We depend on a few customers for a significant portion of our revenues, and the loss of one or more significant customers could affect our ability to maintain the sales volume and price of the coal we produce.",arlp,2014-02,"[4, 14]",0,
287,"These obligations have been estimated based on assumptions including actuarial estimates, discount rates, and changes in health care costs.",amr,2020-03,"[7, 10]",1,
288,Our operations are subject to risks of doing business.,nem,2011-02,"[8, 9]",0,
289,Our growth depends upon the continued growth in demand for electric vehicles with high performance lithium compounds.,pll,2021-09,[8],0,
290,"We contract with truck, rail and barge services to move commercial silica from our production facilities to distribution outlets and our customers, and increased costs under these contracts could adversely affect our results of operations if we are unable to pass these costs on to our customers.",slca,2014-02,"[4, 12, 14]",0,
291,"During the production stage, the Unconsolidated Subsidiaries' customers pay the Company its agreed upon fee only for the coal delivered to them for consumption or use.",nc,2022-03,[14],1,
292,We seek to register our brand names as trademarks where it makes business sense.,cmp,2021-02,[8],0,
293,"WE MAY SUFFER A BREACH OF OUR COMPUTER SECURITY MEASURES, WHICH COULD HARM OUR BUSINESS.",usau,2012-07,[11],0,
294,"To maintain and grow our business, we will be required to make substantial capital expenditures.",ceix,2020-02,[8],0,
295,Risks Related to Our Indebtedness The amount of indebtedness we have incurred could significantly affect our business.,arch,2013-03,[0],0,
296,The Board of Directors has the power to determine the amount and frequency of the payment of dividends.,nc,2022-03,"[3, 6]",0,
297,"For example, the U.S. Foreign Corrupt Practices Act and anti-bribery laws in other jurisdictions, including the U.K. Bribery Act, generally prohibit companies and their intermediaries from making improper payments for the purpose of obtaining or retaining business or other commercial advantage.",nem,2014-02,"[8, 11]",1,
298,"Failure to meet these specifications could result in economic penalties, including price adjustments, the rejection of deliveries or termination of the contracts.",amr,2022-03,[5],0,
299,The distinction between current and noncurrent is based upon the expected length of time necessary for the leaching process to remove the metals from the crushed ore.,cde,2007-02,"[1, 7]",0,
300,"If the gold price falls below that committed price, we may experience losses if a hedge counterparty defaults under a contract when the contract price exceeds the gold price.",lode,2015-01,[10],0,
301,"Similarly, our silver stream at Pueblo Viejo decreases from 75% of Barricks interest in silver produced at Pueblo Viejo to 37.50% after 50.00 million ounces of silver have been delivered.",rgld,2018-08,[10],0,
302,"The possibility exists that new legislation or regulations and orders, including without limitation related to the environment or employee health and safety may be adopted and may materially adversely affect our mining operations, our cost structure or our customers ability to use coal.",btu,2017-03,"[2, 12]",0,
303,"Mineral reserve and resource estimates for properties that have not commenced extraction, production or recovery are based, in many instances, on limited and widely spaced drill-hole information, which is not necessarily indicative of the conditions between and around drill holes.",uuuu,2021-03,"[1, 7]",0,
304,"Such disruption could interfere with our business operations and could lead to decreased productivity, increased labor costs, and lost revenue.",mux,2020-03,"[13, 14]",0,
305,"Many other governmental bodies regulate our operations, and our failure to comply with these legal requirements can result in substantial penalties.",fcx,2014-02,[2],1,
306,"We cannot assure you when these strikes will be settled, or that in the future we will not experience strikes or other labor related work stoppages that could have a material adverse effect on our financial condition and results of operations.",scco,2018-03,[13],0,
307,"In addition, new laws and regulations or changes to existing laws and regulations and new interpretations of existing laws and regulations by courts or regulatory authorities occur regularly, but are difficult to predict.",fcx,2020-02,"[2, 11, 12]",1,
308,"Reliable roads, bridges, power sources and water supply are important factors which affect capital and operating costs.",usau,2018-07,"[12, 14]",0,
309,As a smaller reporting company we may provide certain scaled disclosures.,uuuu,2020-03,[7],0,
310,"The public, including non-governmental organizations, opposition groups and individuals, have statutory rights to comment upon and submit objections to requested permits and approvals.",nc,2016-03,[2],0,
311,"In certain locations, leases for oil, natural gas and coalbed methane reserves are located on, or adjacent to, some of our reserves, potentially creating conflicting interests between us and lessees of those interests.",btu,2013-02,"[6, 12]",0,
312,These customer expectations can lead to a lag in our ability to realize price increases for our products and adversely impact our sales volumes and selling prices.,cmp,2019-03,"[4, 12, 14]",0,
313,We have learned that the Staff also issued Wells notices to a former Chief Financial Officer and former executive Chairman of the Board of Apex during the period of the alleged illegal payments.,aumn,2009-03,[8],1,
314,Surety bonds are typically renewable on a yearly basis.,btu,2016-03,[0],1,
315,"We procure some of this equipment from a concentrated group of suppliers, and obtaining this equipment often involves long lead times.",hcc,2020-02,[14],0,
316,"Under the proposed rule, owners and operators of facilities subject to the rule have been required, among other things, to (i) notify the EPA that they are subject to the rule; (ii) calculate a level of financial responsibility for their facility using a formula provided in the rule; (iii) obtain a financial responsibility instrument, or qualify to self-assure, for the amount of financial responsibility; (iv) demonstrate that they had obtained such evidence of financial responsibility; and (v) update and maintain financial responsibility until the EPA released the owner or operator from the CERCLA Section 108(b) regulations.",usau,2019-07,[2],1,
317,"Most of its coal supply agreements contain provisions requiring the Company to deliver coal meeting quality thresholds for certain characteristics such as Btu, sulfur content, ash content, volatile matter, coking properties, grindability and ash fusion temperature.",btu,2022-02,[14],1,
318,"If we were treated as a new partnership, we would be required to make new tax elections and could be subject to penalties if we were unable to determine that a termination occurred.",arlp,2014-02,[15],1,
319,Our profitability is impacted by the price and availability of natural gas and electricity we purchase from third parties.,cmp,2021-02,"[4, 12]",0,
320,"There are significant hazards involved in underground mining and processing activities at our Velardena Properties, not all of which are fully covered by insurance.",aumn,2015-02,[9],0,
321,Our officers and directors may be subject to conflicts of interest.,uec,2008-10,[6],1,
322,"In addition, the market prices of copper and certain other metals have on occasion been subject to rapid short-term changes.",scco,2009-03,[10],0,
323,"The success of our businesses depends on our ability to retain our current customers, renew our existing customer contracts and solicit new customers.",arch,2017-02,"[4, 8]",0,
324,"We and our operating properties may be subject to environmental risks, including risks associated with climate change, which could have a material adverse effect on our financial condition or the value of our investments.",rgld,2020-08,[12],0,
325,"The IRS private letter ruling and the opinion(s) of tax advisors were based upon and rely on, among other things, various facts and assumptions, as well as certain representations, statements and undertakings of our former parent and the Company, including those relating to the past and future conduct of our former parent and the Company.",ceix,2020-02,[15],0,
326,"These laws and regulations govern, among others, health and safety work place conditions, including high risk labor and the handling, storage and disposal of chemical and other hazardous substances.",scco,2017-03,"[2, 11]",1,
327,"In addition, our board of directors may be viewed as having breached its fiduciary duty to our creditors and/or having acted in bad faith, thereby exposing itself and us to claims of punitive damages, by paying public stockholders from the trust account prior to addressing the claims of creditors.",hymc,2019-03,"[3, 6, 11]",1,
328,"Every investor or potential investor in Newmont should carefully consider the following risks, which have been separated into two groups: Risks Related to the Mining Industry Generally A Substantial or Extended Decline in Gold or Copper Prices Would Have a Material Adverse Effect on Newmont",nem,2008-02,"[10, 15]",0,
329,"We have not established proven or probable reserves through the completion of a final or bankable feasibility study for any of our projects, including the Palangana Mine.",uec,2019-10,"[1, 7]",0,
330,"These risks could result in delays to development or production, damage to or destruction of mineral properties or processing facilities, personal injury or death, loss of key employees, environmental damage, monetary losses and possible legal liability.",aumn,2011-02,"[9, 11]",0,
331,A sustained period of low returns or losses on investments could require us to fund the pension plans to a greater extent than anticipated.,hl,2017-02,"[7, 10]",1,
332,"The number of persons skilled in the acquisition, exploration and development of royalty and stream interests is limited and there is competition for such persons.",rgld,2015-08,[8],0,
333,"To the extent we use cash to reduce these unfunded liabilities, the amount of cash available for our working capital needs would be reduced.",slca,2019-02,[1],0,
334,"Further, we will not be able to recover the funds that we spend on exploration if we are not able to establish commercially recoverable quantities of ore on our mineral properties.",uec,2010-10,"[1, 7]",0,
335,"We do not have title insurance for any of our real property or leasehold interests and, as part of the Asset Acquisition, we did not independently verify title to our leased properties or associated met coal reserves.",hcc,2018-02,[7],0,
336,"The December 1997 Kyoto Protocol, which ends in 2012, established a set of greenhouse gas emission targets for countries that have ratified the Protocol, which include Canada, Ghana, Australia and Peru.",rgld,2010-08,"[5, 12]",1,
337,"Based on recommendations from the Working Group, the U.S. Congress included in its COVID-Relief and Omnibus Spending Bill, which was signed into law on December 27, 2020, $75 million for the proposed establishment of a strategic U.S. Uranium Reserve.",uuuu,2022-03,[1],0,
338,The more significant areas requiring the use of management assumptions and estimates relate to: Actual results may differ materially from these estimates using different assumptions or conditions.,hl,2014-02,"[7, 10]",0,
339,We may be subject to a number of unanticipated risks related to inadequate infrastructure.,hl,2013-02,[14],0,
340,"For example, the Fourth and Fifth Assessment Reports of the Intergovernmental Panel on Climate Change have expressed concern about the impacts of human activity, especially from fossil fuel combustion, on global climate issues.",arch,2017-02,[12],0,
341,"Further, as cyber incidents continue to evolve, we could be required to expend additional resources to continue to modify or enhance our protective measures or to investigate and remediate any vulnerability to cyber incidents.",arlp,2021-02,[9],0,
342,"Factors that affect adequacy of infrastructure include: reliability of roads, bridges, power sources and water supply; unusual or infrequent weather phenomena; sabotage; and government or other interference in the maintenance or provision of such infrastructure.",cde,2010-02,[14],0,
343,"Of the six suits retained by Fola, one was dismissed, two were settled, and a federal court has issued liability rulings in the three remaining suits.",ceix,2018-02,[11],1,
344,"HBB must receive a continuous flow of new orders from its large, high-volume retail customers; however, it may be unable to continually meet the needs of those customers.",nc,2010-03,"[4, 14]",0,
345,"There are numerous uncertainties inherent in estimating quantities of reserves, including many factors beyond our control.",arlp,2008-02,"[1, 7, 10]",0,
346,"Effective January 1, 2005, the council of the European Union suspended the additional customs duties on imports of certain NMHG products originating in the United States, subject to a determination by the WTO whether certain aspects of the American Jobs Creation Act of 2004 (the Jobs Act) are consistent with the U.S.s WTO obligation.",nc,2006-03,"[5, 13]",1,
347,Our current plans require us to make capital expenditures for the exploration of our minerals exploration properties.,uec,2009-10,"[1, 7]",0,
348,"In addition, foreign currency fluctuations could adversely affect the competitiveness of our coal abroad.",ceix,2019-02,[5],0,
349,"For additional information regarding goodwill, see Note 20 to our Consolidated Financial Statements.",nem,2022-02,[11],0,
350,"These indemnification provisions may require us to use our limited assets to defend our directors and officers against claims, and may have the effect of preventing stockholders from recovering damages against our directors and officers caused by their negligence, poor judgment or other circumstances.",uec,2014-10,[6],0,
351,"Any switching of fuel sources away from coal, closure of existing coal-fired plants, or reduced construction of new plants could have a material adverse effect on demand for and prices received for our coal.",arch,2016-03,"[4, 12, 14]",0,
352,"The capital expenditures and time required to develop new mines or other projects are considerable, and changes in costs or construction schedules can adversely affect project economics.",fcx,2013-02,"[1, 7]",0,
353,"If we are unable to finance our growth and future expansions as expected, we could be required to seek alternative financing, the terms of which may not be attractive to us, or to revise or cancel our plans.",arlp,2011-02,"[8, 12]",0,
354,An economic slowdown can significantly slow the growth of electrical demand and could result in contraction of demand for coal.,arch,2011-03,[14],0,
355,"Substantial costs and liabilities, including for restoring the environment after the closure of mines, are inherent in the Companys operations.",cde,2012-02,[7],0,
356,All of these factors may result in losses in relation to amounts spent which are not recoverable.,mux,2018-02,[13],0,
357,Failing to meet the qualifying income requirement or a change in current law could cause us to be treated as a corporation for U.S. federal income tax purposes or otherwise subject us to taxation as an entity.,arlp,2014-02,[15],1,
358,"If there are title defects with respect to any of our properties, we may be required to compensate other persons or perhaps reduce our interest in the affected property.",vgz,2014-03,"[7, 11]",1,
359,"At that date, we also had recorded a valuation allowance of $1,169.0 million, substantially comprised of a full valuation allowance against our net deferred tax asset positions in the U.S. and Australia driven by recent cumulative book losses, as determined by considering all sources of available income (including items classified as discontinued operations or recorded directly to ""Accumulated other comprehensive loss""), which limited our ability to look to future taxable income in assessing the likelihood of realizing those assets.",btu,2015-02,"[10, 15]",0,
360,We may incur additional costs and delays to mine coal because we have to acquire additional property rights to perfect our title to coal rights.,ceix,2020-02,[7],0,
361,"Exploration project items such as estimates of reserves, metal recoveries and cash operating costs are to a large extent based upon the interpretation of geologic data, obtained from a limited number of drill holes and other sampling techniques, and feasibility studies.",cde,2016-02,"[1, 7]",0,
362,"Substantial expenditures are required to acquire existing gold properties with established reserves or to establish proven or probable reserves through drilling, analysis and engineering.",lode,2022-03,"[1, 7]",0,
363,"The mining industry has been impacted by increased demand for critical resources such as input commodities, drilling equipment and tires.",nem,2012-02,[14],0,
364,"We are subject to income and other taxes in the U.S. and numerous foreign jurisdictions, most significantly Australia.",btu,2017-03,"[5, 15]",1,
365,We may not be able to obtain community support of future projects.,aumn,2018-03,[1],0,
366,"Since our formation and the acquisition of our predecessor in August 1999, we have expanded our operations by adding and developing mines and coal reserves in existing, adjacent and neighboring properties.",arlp,2013-03,"[1, 7, 8]",0,
367,"Impairment, measured by comparing an assets carrying value to its fair value, must be recognized when the carrying value of the asset exceeds these cash flows.",cde,2014-02,[10],0,
368,"In June 2011, the U.S. Supreme Court issued a unanimous decision holding that the plaintiffs' federal common law claims were displaced by federal legislation and regulations.",arlp,2017-02,"[2, 11, 15]",0,
369,"As a result of public concern about the real or perceived detrimental effects of economic globalization and global climate impacts, businesses in general and the mining industry in particular face increasing public scrutiny of their activities.",vgz,2021-02,"[5, 12]",0,
370,"Because our land holdings are within the Carson River Mercury Superfund Site, our operations are subject to certain soil sampling and potential remediation requirements, which may result in added costs and delays; and we are also potentially subject to further costs as the result of on-going government investigation and future remediation decisions.",lode,2018-02,"[2, 9, 11]",0,
371,"Assessing the recoverability of deferred tax assets requires management to make significant estimates related to expectations of future taxable income, including application of existing tax laws in each jurisdiction, assumptions about future metals prices, the macroeconomic environment and results of our operations.",cde,2021-02,"[10, 15]",0,
372,The Companys future operating results could be affected by the ability of its officers and key employees to manage changing business conditions and integrate an acquired business or new operation into Coeur.,cde,2020-02,[8],0,
373,"On March 24, 2014, the U.S. Supreme Court denied petitions for review.",hcc,2020-02,[11],0,
374,"Registering as an investment company could, among other things, materially limit our ability to engage in transactions with affiliates, including the purchase and sale of certain securities or other property to or from our affiliates, restrict our ability to borrow funds, engage in other transactions involving leverage or issue additional capital stock and require us to add additional directors who are independent of us or our affiliates.",arch,2020-02,"[0, 3, 6]",0,
375,The recent global economic recession and credit market tightening has had a negative impact on both the coal industry and on various customers.,arch,2013-03,"[4, 5]",0,
376,We do not expect to mine all of our ore reserves in Indonesia before the initial term of our COW expires.,fcx,2012-02,"[1, 7, 13]",0,
377,"Although we maintain insurance for a number of risks and hazards, we may not be insured or fully insured against the losses or liabilities that could arise from a significant accident in our coal operations.",ceix,2020-02,[9],1,
378,"Delays in or our inability to obtain necessary permits will result in unanticipated costs, which may result in serious adverse effects upon our business.",usau,2021-07,"[1, 8]",0,
379,"Operating results below current levels or other adverse factors, including a significant increase in interest rates, could result in our inability to comply with the financial covenants contained in our Senior Unsecured Credit Facility.",btu,2010-02,[0],0,
380,Potential litigation affecting the properties that we have stream and royalty interests in could have an adverse effect on us.,rgld,2016-08,[7],0,
381,There is a degree of uncertainty attributable to the calculation of reserves and corresponding grades dedicated to future production.,vgz,2009-03,[7],0,
382,Capital expenditures required for these projects may increase due to factors beyond our control.,cmp,2010-02,"[1, 7]",0,
383,Efforts to slow the spread of COVID-19 have already impacted the operation of Newmonts mines and the development of projects and led to the temporary cancellation of certain exploration activities.,nem,2021-02,"[1, 9]",0,
384,"At that date, we also had recorded a valuation allowance of $2,287.3 million.",btu,2021-02,"[0, 10]",0,
385,RISKS RELATED TO OWNERSHIP OF OUR COMMON STOCK Public company compliance may make it more difficult to attract and retain officers and directors.,usau,2021-07,"[3, 6, 8]",0,
386,NACoal is subject to the high costs and risks involved in the development of new coal and dragline mining projects.,nc,2012-02,[14],0,
387,"Since 2000, coal's share of U.S. electricity production has fallen from 53% to 30%, while natural gas share has increased from 16% to 34%.",arlp,2017-02,[12],0,
388,We may not be able to successfully grow through future acquisitions.,hnrg,2019-03,"[1, 8]",0,
389,"Accordingly, quarter-to-quarter comparisons of past operating results of HBB are meaningful only when comparing equivalent time periods, if at all.",nc,2012-02,[10],0,
390,"Imposition of more stringent remediation standards, particularly for arsenic and lead in soils, poses a risk that additional remediation work could be required at our active remediation sites and at sites that we have already remediated to the satisfaction of the responsible governmental agencies, and may increase the risk of toxic tort litigation.",fcx,2018-02,"[2, 11]",1,
391,Increased competition in our business could adversely affect our ability to attract necessary capital funding or acquire suitable mining properties or prospects for mineral exploration in the future.,usau,2020-07,"[1, 8]",0,
392,"If some or all of our currently union-free operations were to become unionized, it could adversely affect our productivity and increase the risk of work stoppages at our mining complexes.",hnrg,2019-03,"[9, 13]",0,
393,"Additionally, we may not be able to successfully integrate the acquired businesses.",cmp,2011-02,"[1, 8]",0,
394,"The supply and demand for gold and other commodities, the level of interest rates, the rate of inflation, investment decisions by large holders of these commodities, including governmental reserves, and stability of exchange rates can all cause significant fluctuations in prices.",xpl,2007-02,"[5, 10]",0,
395,"Environmental legislation is evolving in a manner which may require stricter standards and enforcement, increased fines and penalties for non-compliance, more stringent environmental assessments of proposed projects and a heightened degree of responsibility for companies and their officers, directors and employees.",usau,2019-07,"[2, 11]",0,
396,"We base our mineral reserve and resource estimates on engineering, economic and geological data assembled and analyzed by our engineers and geologists, which are reviewed by outside firms.",slca,2012-03,[7],0,
397,"The economic viability of our mining activities has many risks and uncertainties including, but not limited to: (i) a significant, pro-longed decrease in the market price of uranium; (ii) difficulty in marketing and/or selling uranium concentrates; (iii) significantly higher than expected capital costs to construct the mine and/or processing plant; (iv) significantly higher than expected extraction costs; (v) significantly lower than expected uranium extraction; (vi) significant delays, reductions or stoppages of uranium extraction activities; and (vi) the introduction of significantly more stringent regulatory laws and regulations.",uec,2013-10,[1],0,
398,The costs associated with compliance with such laws and regulations are substantial.,cde,2014-02,"[2, 12]",0,
399,"In addition, evolving reclamation or environmental concerns may threaten our ability to renew existing permits or obtain new permits in connection with future development, expansions and operations.",hl,2015-02,[2],0,
400,The titles to some of our properties may be defective or challenged.,hl,2020-02,[11],0,
401,"Despite our current indebtedness levels, we may still be able to incur substantially more debt, including secured indebtedness.",hcc,2018-02,[0],0,
402,"As discussed above, some of these permits are becoming increasingly more difficult and expensive to obtain and the review process continues to lengthen.",amr,2020-03,[1],1,
403,"We are currently, and may in the future become, subject to litigation, arbitration or other legal proceedings with other parties.",nem,2020-02,[11],0,
404,"We generally prorate our items of income, gain, loss and deduction between transferors and transferees of our units each month based upon the ownership of our units on the first day of each month (the ""Allocation Date""), instead of on the basis of the date a particular unit is transferred.",arlp,2020-02,"[6, 15]",0,
405,Estimates of proven and probable reserves are subject to considerable uncertainty.,nem,2013-02,"[1, 7]",0,
406,We cannot predict with any certainty when we will need additional funds or how much we will need or if additional funds will be available to us.,usau,2013-07,[1],0,
407,"In the event that we cannot increase the price we charge for met coal to cover the higher production costs without reducing customer demand for our met coal, there could be a material adverse effect on our financial condition and results of operations.",hcc,2019-02,"[9, 12, 14]",0,
408,"Some of our operations are in remote locations requiring long distance transmission of power, and in some locations we compete with other companies for access to third party power generators or electrical supply networks.",nem,2020-02,"[12, 14]",0,
